filepath,valid,width,height,channels,file_size_bytes,color_mode,error,label,dataset,filename,file_hash
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1036.jpg,True,89,135,3,5910,RGB,,with_mask,mask,with_mask_1036.jpg,99d0986853f6f638d35be3793de57f98
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1037.jpg,True,379,465,3,22342,RGB,,with_mask,mask,with_mask_1037.jpg,044314ad9648679e1017438a214b250f
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1038.jpg,True,121,135,3,6740,RGB,,with_mask,mask,with_mask_1038.jpg,a97aaba76a5ffd033578f4ae74a80ba3
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1039.jpg,True,270,152,3,5281,RGB,,with_mask,mask,with_mask_1039.jpg,19bc027b0f4ae310830b698c3eacee6d
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_104.jpg,True,60,94,3,3917,RGB,,with_mask,mask,with_mask_104.jpg,ae2bd01e7d42b12872ef609d71e0e224
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1040.jpg,True,68,96,3,3609,RGB,,with_mask,mask,with_mask_1040.jpg,0ba9eb4baa7f1372958cea767c2aa096
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1041.jpg,True,327,433,3,24090,RGB,,with_mask,mask,with_mask_1041.jpg,29ca24f224dd4a3c51f0b63bd6c39d1f
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1042.jpg,True,110,141,3,6720,RGB,,with_mask,mask,with_mask_1042.jpg,570f9cc11f4b977cebe63bf55a5d76b9
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1043.jpg,True,320,428,3,23270,RGB,,with_mask,mask,with_mask_1043.jpg,d4e868d526db29c31da0abb4a79833fb
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1044.jpg,True,176,250,3,14457,RGB,,with_mask,mask,with_mask_1044.jpg,902b37c03737bbe3fdca7ec27ed5c3de
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1045.jpg,True,204,236,3,16470,RGB,,with_mask,mask,with_mask_1045.jpg,a030013564640399ff895a77d63fbb28
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1046.jpg,True,246,352,3,12368,RGB,,with_mask,mask,with_mask_1046.jpg,b68757f8e8302efb258b51434727f587
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1047.jpg,True,71,92,3,3698,RGB,,with_mask,mask,with_mask_1047.jpg,5daa9f1b408a39c71f74a8066d66296a
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1048.jpg,True,603,340,3,28474,RGB,,with_mask,mask,with_mask_1048.jpg,6a819f754218fc1d462aa91d60c04093
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1049.jpg,True,94,132,3,6781,RGB,,with_mask,mask,with_mask_1049.jpg,4d78989e27618a7af3deb7609d85fb1a
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_105.jpg,True,126,160,3,9384,RGB,,with_mask,mask,with_mask_105.jpg,db370426cceaf9d9d0048997cd1bf8fc
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1050.jpg,True,590,960,3,55642,RGB,,with_mask,mask,with_mask_1050.jpg,0e33cd73e510414034fb4f4369f1e25c
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1051.jpg,True,82,108,3,4708,RGB,,with_mask,mask,with_mask_1051.jpg,36e07c3eeb05e6d1200ff0488381caee
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1052.jpg,True,61,115,3,4126,RGB,,with_mask,mask,with_mask_1052.jpg,b1971ec6f94792343e85d6eaa1ae8817
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1053.jpg,True,480,640,3,43857,RGB,,with_mask,mask,with_mask_1053.jpg,a8dbe4599d8e5e8c92c57e5fc6fdde54
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1054.jpg,True,268,414,3,33830,RGB,,with_mask,mask,with_mask_1054.jpg,21c6f00b73b52e13f5a9618dcbea671e
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1055.jpg,True,320,428,3,23419,RGB,,with_mask,mask,with_mask_1055.jpg,866610b70c567f7a30b587d42df06a07
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1056.jpg,True,197,382,3,13029,RGB,,with_mask,mask,with_mask_1056.jpg,bb1dc0fbbf3606e903595d17a233c1b9
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1057.jpg,True,327,433,3,31760,RGB,,with_mask,mask,with_mask_1057.jpg,13bed58b14a604ed0db6a609214b8553
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1058.jpg,True,578,670,3,132960,RGB,,with_mask,mask,with_mask_1058.jpg,d8c5fedb63b65e9135fdd8eb65a7185c
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1059.jpg,True,740,516,3,45503,RGB,,with_mask,mask,with_mask_1059.jpg,2b289091a41be23676b21e811b4dfcad
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_106.jpg,True,223,243,3,16437,RGB,,with_mask,mask,with_mask_106.jpg,5211c1f69e34b2ae306708dac85d6449
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1060.jpg,True,94,142,3,5107,RGB,,with_mask,mask,with_mask_1060.jpg,b81ee7c359217386327e6f6423f24247
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1061.jpg,True,320,428,3,30114,RGB,,with_mask,mask,with_mask_1061.jpg,291d625bcea8bdd03b78695cec981c29
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1062.jpg,True,320,428,3,24474,RGB,,with_mask,mask,with_mask_1062.jpg,4ef8d63b294ab468435e32d6ec8129d6
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1063.jpg,True,675,942,3,111969,RGB,,with_mask,mask,with_mask_1063.jpg,c9f1f679cfe02d6cf98e254a1c7606f1
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1064.jpg,True,225,225,3,7756,RGB,,with_mask,mask,with_mask_1064.jpg,ca479e93c35f1743bc845d9945686fe0
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1065.jpg,True,232,406,3,13075,RGB,,with_mask,mask,with_mask_1065.jpg,0622940f330083a492d58fc52bb0a5dc
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1066.jpg,True,78,90,3,3646,RGB,,with_mask,mask,with_mask_1066.jpg,8d3153154d6d870d84170caa30e1b819
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1067.jpg,True,143,194,3,10876,RGB,,with_mask,mask,with_mask_1067.jpg,6de8018320e14d6dd5caad3fc1659e4c
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1068.jpg,True,56,71,3,2579,RGB,,with_mask,mask,with_mask_1068.jpg,b1f6c60f8438dcbc1219d978f3b34e6b
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1069.jpg,True,70,71,3,3067,RGB,,with_mask,mask,with_mask_1069.jpg,dd949382283f4d4da8eb84b66058f70c
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_107.jpg,True,59,81,3,9559,RGB,,with_mask,mask,with_mask_107.jpg,0983def67da48b24cf9ee0d9e8fd893a
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1070.jpg,True,73,101,3,4408,RGB,,with_mask,mask,with_mask_1070.jpg,5f8c953799fe0b67a8a3774058824c69
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1071.jpg,True,69,103,3,3499,RGB,,with_mask,mask,with_mask_1071.jpg,a5008387b5b125679da8592830de5499
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1072.jpg,True,63,74,3,2998,RGB,,with_mask,mask,with_mask_1072.jpg,758b70ad7581801653f0c7d5801a2b46
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1073.jpg,True,67,100,3,3469,RGB,,with_mask,mask,with_mask_1073.jpg,11bda7dece72a87e93a31b7d42571eae
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1074.jpg,True,69,97,3,4170,RGB,,with_mask,mask,with_mask_1074.jpg,3c86360c4c326e6c34613f5d7f20bea3
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1075.jpg,True,75,92,3,3444,RGB,,with_mask,mask,with_mask_1075.jpg,29b3731e36c84b3e00270b951212910f
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1076.jpg,True,69,101,3,4038,RGB,,with_mask,mask,with_mask_1076.jpg,f04bdb52e3f85490638abaf110248ba5
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1077.jpg,True,65,81,3,2981,RGB,,with_mask,mask,with_mask_1077.jpg,eb0c125dd3f0e00b96238397704f8db7
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1078.jpg,True,344,433,3,29140,RGB,,with_mask,mask,with_mask_1078.jpg,97ee0515d8cb8376db12896744778a23
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1079.jpg,True,66,100,3,3762,RGB,,with_mask,mask,with_mask_1079.jpg,d7d9e4536f50d9b082d063f3b1f1c1f7
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_108.jpg,True,68,99,3,3191,RGB,,with_mask,mask,with_mask_108.jpg,ccf2cd91aa35ddfd10aec6f750192ece
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1080.jpg,True,143,211,3,10151,RGB,,with_mask,mask,with_mask_1080.jpg,418c1089f976b8e458ec1dbc84471518
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1081.jpg,True,76,100,3,4318,RGB,,with_mask,mask,with_mask_1081.jpg,a6d865df53901f3643f511096c416939
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1082.jpg,True,75,96,3,3244,RGB,,with_mask,mask,with_mask_1082.jpg,43b56b7c3d20947dd807128c3753804d
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1083.jpg,True,80,102,3,2940,RGB,,with_mask,mask,with_mask_1083.jpg,04052daf05f82773564dccae4e72a65b
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1084.jpg,True,90,106,3,4354,RGB,,with_mask,mask,with_mask_1084.jpg,711f207cefac6933de9b9768b7be862a
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1085.jpg,True,84,109,3,4627,RGB,,with_mask,mask,with_mask_1085.jpg,cdb91aae4d5c0ff29bd7b310405b2668
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1086.jpg,True,70,84,3,3595,RGB,,with_mask,mask,with_mask_1086.jpg,3201538e46327ee81b91ebf2ab7459fd
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1087.jpg,True,101,131,3,7566,RGB,,with_mask,mask,with_mask_1087.jpg,7211e6986bc7dc303984c634606e0325
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1088.jpg,True,26,37,3,1415,RGB,,with_mask,mask,with_mask_1088.jpg,55e6c6f6e316967f8c70466a59866ed3
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1089.jpg,True,429,507,3,57147,RGB,,with_mask,mask,with_mask_1089.jpg,8e290ae99a8b5c4aa4f456f50f475592
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_109.jpg,True,257,394,3,35745,RGB,,with_mask,mask,with_mask_109.jpg,1bef25914b1bad750bb975f0b3bb8f2f
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1090.jpg,True,72,99,3,4874,RGB,,with_mask,mask,with_mask_1090.jpg,569b78f35f2a2021a463acfe3cfeec02
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1091.jpg,True,56,73,3,2505,RGB,,with_mask,mask,with_mask_1091.jpg,88121404cd36c507c595589d334f7c9b
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1092.jpg,True,54,70,3,2646,RGB,,with_mask,mask,with_mask_1092.jpg,62c2f01b8e23022a064f47d98d831fc4
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1093.jpg,True,258,391,3,31177,RGB,,with_mask,mask,with_mask_1093.jpg,ad14dbea5765b1ed5085af60ab5aa323
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1095.jpg,True,91,123,3,6308,RGB,,with_mask,mask,with_mask_1095.jpg,2363ab1ddebc2530c634389aa9a6de09
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1096.jpg,True,235,224,3,13684,RGB,,with_mask,mask,with_mask_1096.jpg,81e57ba44920b50e71df56bd929728ab
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1097.jpg,True,226,288,3,21754,RGB,,with_mask,mask,with_mask_1097.jpg,c8a3e236a2b84d23b27c49b598f1f151
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1098.jpg,True,66,76,3,3160,RGB,,with_mask,mask,with_mask_1098.jpg,24240d0a8773f32814def4a2a78bf643
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1099.jpg,True,162,246,3,13117,RGB,,with_mask,mask,with_mask_1099.jpg,5b80ac56404ad58d860bb5ff0580c8ea
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_11.jpg,True,177,204,3,13646,RGB,,with_mask,mask,with_mask_11.jpg,6d9bab69ba317f588fc37db41798031d
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_110.jpg,True,67,90,3,12360,RGB,,with_mask,mask,with_mask_110.jpg,5857dae0799af66f61697d2efcba0cbb
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1101.jpg,True,43,52,3,2511,RGB,,with_mask,mask,with_mask_1101.jpg,6255636ca9bb2662bc77582b1c0c4c3f
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1102.jpg,True,65,55,3,2536,RGB,,with_mask,mask,with_mask_1102.jpg,a84bf6cb5969c6e162f1c4e1a5fe9db9
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1103.jpg,True,76,87,3,3297,RGB,,with_mask,mask,with_mask_1103.jpg,7262d26cc2764c9964a3a0c6c7402e20
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1104.jpg,True,498,797,3,112450,RGB,,with_mask,mask,with_mask_1104.jpg,4339dc99e2b34eca8831d9ad5e038bf8
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1105.jpg,True,71,101,3,3904,RGB,,with_mask,mask,with_mask_1105.jpg,7b59ebe2f2e83994af8d7391f171c7bb
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1106.jpg,True,84,144,3,5621,RGB,,with_mask,mask,with_mask_1106.jpg,a06f3926ca94cf0e70366b5ff69a05b0
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1107.jpg,True,118,168,3,10616,RGB,,with_mask,mask,with_mask_1107.jpg,ed05ae345ac47990942daac77a15acef
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1108.jpg,True,212,285,3,15547,RGB,,with_mask,mask,with_mask_1108.jpg,f8c6e0f459eb53f084a3dbaa138383a2
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1109.jpg,True,35,59,3,1954,RGB,,with_mask,mask,with_mask_1109.jpg,b2ccc42bb19db5c54b75555683231899
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_111.jpg,True,365,463,3,36406,RGB,,with_mask,mask,with_mask_111.jpg,6464cc953ed9372885373628b5468f56
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1110.jpg,True,458,744,3,55624,RGB,,with_mask,mask,with_mask_1110.jpg,c0cda2c034f77475befc58d2dbd40789
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1111.jpg,True,74,103,3,3668,RGB,,with_mask,mask,with_mask_1111.jpg,06cecaa52764c481fed567a1df601a48
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1112.jpg,True,61,65,3,2620,RGB,,with_mask,mask,with_mask_1112.jpg,3cd573cf5c61da6cbcdf152c153b9a02
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1113.jpg,True,98,121,3,5665,RGB,,with_mask,mask,with_mask_1113.jpg,f8c134d054109ce15098b3cba3b23f22
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1114.jpg,True,84,103,3,4222,RGB,,with_mask,mask,with_mask_1114.jpg,33e299b6b5b7078e92b3475b11f7ad80
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1115.jpg,True,73,86,3,4384,RGB,,with_mask,mask,with_mask_1115.jpg,234e7a7fb8ca8b5e4c7d542e80a5bf0e
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1116.jpg,True,94,139,3,5791,RGB,,with_mask,mask,with_mask_1116.jpg,94792a846d9d1744f9f62948f98ac13b
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1117.jpg,True,63,90,3,3687,RGB,,with_mask,mask,with_mask_1117.jpg,1b3c5f0fa043f71be71afa2d286114c8
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1118.jpg,True,56,90,3,3988,RGB,,with_mask,mask,with_mask_1118.jpg,0aa6b4eed1d2ab3c54d988ce82f319ae
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1119.jpg,True,75,124,3,5713,RGB,,with_mask,mask,with_mask_1119.jpg,182adfe55b75270e61b42478203cc384
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_112.jpg,True,77,121,3,4895,RGB,,with_mask,mask,with_mask_112.jpg,62985d61333d1fac2ab7a0ea43ca0d79
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1120.jpg,True,74,93,3,3649,RGB,,with_mask,mask,with_mask_1120.jpg,84e6f2e5f959a628fa926e838fe18170
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1121.jpg,True,73,96,3,2852,RGB,,with_mask,mask,with_mask_1121.jpg,85d840292b3da6dba4684d81202b9396
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1122.jpg,True,38,48,3,2081,RGB,,with_mask,mask,with_mask_1122.jpg,b74af5715ffbf898e4cae560c7d8d2b8
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1124.jpg,True,181,330,3,12230,RGB,,with_mask,mask,with_mask_1124.jpg,e58601a06e393064c046858619917946
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1125.jpg,True,333,461,3,45081,RGB,,with_mask,mask,with_mask_1125.jpg,d13a6597f5729bda6e520f36e89c6b86
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1126.jpg,True,78,97,3,4548,RGB,,with_mask,mask,with_mask_1126.jpg,e874c5058b2c86e596596b89d512cfba
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1127.jpg,True,334,421,3,41494,RGB,,with_mask,mask,with_mask_1127.jpg,ad019c0fc0a9ba845af38686d9d6f66f
E:\AMIT AI\Face Mask & Emotion detection\with_mask\with_mask_1128.jpg,True,186,282,3,20488,RGB,,with_mask,mask,with_mask_1128.jpg,62752f5d551ebfeb02314a1eca0f2550
