filepath,valid,width,height,channels,file_size_bytes,color_mode,error,label,dataset,filename,file_hash,log_file_size
E:\AMIT AI\Face Mask & Emotion detection\angry\1178.jpg,True,48,48,1,1635,L,,angry,emotion,1178.jpg,af2f94e8fba44d65a8e03a865af3b74e,7.400009517162692
E:\AMIT AI\Face Mask & Emotion detection\angry\1181.jpg,True,48,48,1,1596,L,,angry,emotion,1181.jpg,9a54a602c98afe031d0b3c0f24706967,7.3758821482150125
E:\AMIT AI\Face Mask & Emotion detection\angry\1192.jpg,True,48,48,1,1531,L,,angry,emotion,1192.jpg,49d3a66a053f3e533192d953f72cd2be,7.3343293503005365
E:\AMIT AI\Face Mask & Emotion detection\angry\1194.jpg,True,48,48,1,1793,L,,angry,emotion,1194.jpg,596e8bec76b9fe12b8c35b8a2f590701,7.492203042618741
E:\AMIT AI\Face Mask & Emotion detection\angry\120.jpg,True,48,48,1,1544,L,,angry,emotion,120.jpg,9a7e96eb26079485b8b881e0eae5de16,7.3427791893318455
E:\AMIT AI\Face Mask & Emotion detection\angry\1200.jpg,True,48,48,1,1623,L,,angry,emotion,1200.jpg,fbf1b74f0f6aaa6cbd9477c84ae89a09,7.392647520721623
E:\AMIT AI\Face Mask & Emotion detection\angry\1204.jpg,True,48,48,1,2162,L,,angry,emotion,1204.jpg,ffafb2a176f4ca52277e318dfd413028,7.679251425953058
E:\AMIT AI\Face Mask & Emotion detection\angry\1210.jpg,True,48,48,1,1521,L,,angry,emotion,1210.jpg,5a3420a7199b2f40c7d088dcffa70280,7.3277805384216315
E:\AMIT AI\Face Mask & Emotion detection\angry\1211.jpg,True,48,48,1,1664,L,,angry,emotion,1211.jpg,597ddd7b2120ec04479ed980992b20b6,7.417580402414544
E:\AMIT AI\Face Mask & Emotion detection\angry\1213.jpg,True,48,48,1,1677,L,,angry,emotion,1213.jpg,7ee4ed48522dff0416c52b79427503f4,7.425357887027151
E:\AMIT AI\Face Mask & Emotion detection\angry\1216.jpg,True,48,48,1,1743,L,,angry,emotion,1216.jpg,d8f6d007b5cfb6fc30b31820a6be88fe,7.463936604468925
E:\AMIT AI\Face Mask & Emotion detection\angry\122.jpg,True,48,48,1,1540,L,,angry,emotion,122.jpg,cb68d11759c96a28bdce4130e7b3d422,7.340186835320115
E:\AMIT AI\Face Mask & Emotion detection\angry\1221.jpg,True,48,48,1,1476,L,,angry,emotion,1221.jpg,c1c0fd9035f59e4625570427215683ca,7.29776828253138
E:\AMIT AI\Face Mask & Emotion detection\angry\1225.jpg,True,48,48,1,1481,L,,angry,emotion,1225.jpg,12f2de192bcf2da9dd8fd098700821b0,7.301147805856032
E:\AMIT AI\Face Mask & Emotion detection\angry\1226.jpg,True,48,48,1,1610,L,,angry,emotion,1226.jpg,ac43ac647e2fcb81731c5c38d4765b5f,7.384610383176974
E:\AMIT AI\Face Mask & Emotion detection\angry\123.jpg,True,48,48,1,1519,L,,angry,emotion,123.jpg,c40181bdf7fd9791922816e08efafeb9,7.326465613840322
E:\AMIT AI\Face Mask & Emotion detection\angry\1233.jpg,True,48,48,1,1655,L,,angry,emotion,1233.jpg,3fc03c74e969e3d8335b704494ad7aae,7.412160334945205
E:\AMIT AI\Face Mask & Emotion detection\angry\1242.jpg,True,48,48,1,1594,L,,angry,emotion,1242.jpg,06dcaf7eb71cebadf17bab5c273b0118,7.374629015218945
E:\AMIT AI\Face Mask & Emotion detection\angry\1250.jpg,True,48,48,1,1559,L,,angry,emotion,1250.jpg,e2bb3371a242a7edef9b25e312166af0,7.352441100243583
E:\AMIT AI\Face Mask & Emotion detection\angry\1252.jpg,True,48,48,1,1581,L,,angry,emotion,1252.jpg,e1507d19dc4c94cebb07c581e477f5b9,7.366445148327599
E:\AMIT AI\Face Mask & Emotion detection\angry\1255.jpg,True,48,48,1,1781,L,,angry,emotion,1255.jpg,8c17fb39ab8177d637314181917cdd43,7.485491608030754
E:\AMIT AI\Face Mask & Emotion detection\angry\126.jpg,True,48,48,1,1513,L,,angry,emotion,126.jpg,adb782af1fac4794fb2094ba2ea0cbf5,7.322510433997394
E:\AMIT AI\Face Mask & Emotion detection\angry\1267.jpg,True,48,48,1,1675,L,,angry,emotion,1267.jpg,ae8196f6c862aa4e1024e89b2d2fab61,7.424165281042028
E:\AMIT AI\Face Mask & Emotion detection\angry\1268.jpg,True,48,48,1,1700,L,,angry,emotion,1268.jpg,8a2a64255bd2289e19577b697986d113,7.438971592395862
E:\AMIT AI\Face Mask & Emotion detection\angry\1299.jpg,True,48,48,1,1644,L,,angry,emotion,1299.jpg,c581cb2682b7e70cd8d334a333fad362,7.405495663199472
E:\AMIT AI\Face Mask & Emotion detection\angry\1308.jpg,True,48,48,1,1487,L,,angry,emotion,1308.jpg,19e1650d2c22c25c58015f04f6973cfa,7.305188215393037
E:\AMIT AI\Face Mask & Emotion detection\angry\1311.jpg,True,48,48,1,1836,L,,angry,emotion,1311.jpg,d1eac07c47bc0ef306103c6b2b603ac8,7.515889085215125
E:\AMIT AI\Face Mask & Emotion detection\angry\1317.jpg,True,48,48,1,1439,L,,angry,emotion,1317.jpg,8787dc9cd93dd0da543f5a3b298ef7c9,7.272398392570047
E:\AMIT AI\Face Mask & Emotion detection\angry\1338.jpg,True,48,48,1,1337,L,,angry,emotion,1338.jpg,d18f48bfa3576fdaac9fca4f8da4a09b,7.198931240688173
E:\AMIT AI\Face Mask & Emotion detection\angry\134.jpg,True,48,48,1,1341,L,,angry,emotion,134.jpg,8c3d91e7eef5c39ed36232e396aa4067,7.201916317531627
E:\AMIT AI\Face Mask & Emotion detection\angry\1349.jpg,True,48,48,1,1592,L,,angry,emotion,1349.jpg,4c146ed3678a67bcc8db37fbfded1fdd,7.373374309910049
E:\AMIT AI\Face Mask & Emotion detection\angry\1365.jpg,True,48,48,1,1493,L,,angry,emotion,1365.jpg,05029bcc4b8c5e6d4e1db1b82b95942d,7.309212365692763
E:\AMIT AI\Face Mask & Emotion detection\angry\1370.jpg,True,48,48,1,1356,L,,angry,emotion,1370.jpg,5eee2ea8474391a24f7e8f5b7a974db8,7.213031659834869
E:\AMIT AI\Face Mask & Emotion detection\angry\1372.jpg,True,48,48,1,1704,L,,angry,emotion,1372.jpg,eb64dc182ea1933274784cdba1f91e09,7.4413203897176174
E:\AMIT AI\Face Mask & Emotion detection\angry\1373.jpg,True,48,48,1,1465,L,,angry,emotion,1373.jpg,393e1fcde4e4e20e37242c7a99938417,7.290292882446597
E:\AMIT AI\Face Mask & Emotion detection\angry\1374.jpg,True,48,48,1,1392,L,,angry,emotion,1374.jpg,b2c58d272f2fdee3414fdc9141bcaa99,7.239214973779806
E:\AMIT AI\Face Mask & Emotion detection\angry\1375.jpg,True,48,48,1,1692,L,,angry,emotion,1375.jpg,7cfb0038163ac1145a751aa353656df6,7.4342573821331355
E:\AMIT AI\Face Mask & Emotion detection\angry\1384.jpg,True,48,48,1,1567,L,,angry,emotion,1384.jpg,fe6affa646195aaab005bc41919f6cc7,7.357556200910353
E:\AMIT AI\Face Mask & Emotion detection\angry\1392.jpg,True,48,48,1,1584,L,,angry,emotion,1392.jpg,4be64740b5e39af166e5c5adbd0b6b59,7.368339686311381
E:\AMIT AI\Face Mask & Emotion detection\angry\1393.jpg,True,48,48,1,1414,L,,angry,emotion,1393.jpg,b878d67c1467bf9e01ded1b73eb03b60,7.254884810077338
E:\AMIT AI\Face Mask & Emotion detection\angry\1396.jpg,True,48,48,1,1517,L,,angry,emotion,1396.jpg,a9c982261022f247861765bf310cf58f,7.325148957955575
E:\AMIT AI\Face Mask & Emotion detection\angry\1397.jpg,True,48,48,1,1706,L,,angry,emotion,1397.jpg,0bfa02e08db77b7efb21538030901643,7.442492722794441
E:\AMIT AI\Face Mask & Emotion detection\angry\1412.jpg,True,48,48,1,1599,L,,angry,emotion,1412.jpg,5783b7721ccae49dfd08db17f56ff13f,7.3777589082278725
E:\AMIT AI\Face Mask & Emotion detection\angry\1413.jpg,True,48,48,1,1734,L,,angry,emotion,1413.jpg,9399b410a4d4a4d0730322a3dad0b371,7.45876269238096
E:\AMIT AI\Face Mask & Emotion detection\angry\1443.jpg,True,48,48,1,1722,L,,angry,emotion,1443.jpg,524fb622d3acfa42e72ef010a511cd3b,7.45182223652793
E:\AMIT AI\Face Mask & Emotion detection\angry\1444.jpg,True,48,48,1,1538,L,,angry,emotion,1444.jpg,5777c6d3f9ff6f6baa7c62b8a5fcb1bc,7.338888133838879
E:\AMIT AI\Face Mask & Emotion detection\angry\1448.jpg,True,48,48,1,1492,L,,angry,emotion,1448.jpg,a5677df7ec67985eaa79ff6365723a62,7.30854279753919
E:\AMIT AI\Face Mask & Emotion detection\angry\1450.jpg,True,48,48,1,1856,L,,angry,emotion,1450.jpg,acd6065273779d92a801a8916313e931,7.526717561352706
E:\AMIT AI\Face Mask & Emotion detection\angry\1453.jpg,True,48,48,1,1274,L,,angry,emotion,1453.jpg,0167db3c3173bd687edeaeeb1446ba99,7.150701457592526
E:\AMIT AI\Face Mask & Emotion detection\angry\1462.jpg,True,48,48,1,1635,L,,angry,emotion,1462.jpg,db9ca779476ab88d4cd05f3c43425916,7.400009517162692
E:\AMIT AI\Face Mask & Emotion detection\angry\1468.jpg,True,48,48,1,1717,L,,angry,emotion,1468.jpg,fd1f5baecf6bb69724056703b142fed5,7.4489161025442
E:\AMIT AI\Face Mask & Emotion detection\angry\1483.jpg,True,48,48,1,1741,L,,angry,emotion,1483.jpg,5b78519ac5b1467b3d4f9cdfce30f455,7.462789157412448
E:\AMIT AI\Face Mask & Emotion detection\angry\149.jpg,True,48,48,1,1668,L,,angry,emotion,149.jpg,443410d6681f7b55542859573c01f3bd,7.419979923661835
E:\AMIT AI\Face Mask & Emotion detection\angry\1490.jpg,True,48,48,1,1276,L,,angry,emotion,1490.jpg,69c0cfa8cca460c301b46566bd3f41c5,7.152268856032539
E:\AMIT AI\Face Mask & Emotion detection\angry\150.jpg,True,48,48,1,1745,L,,angry,emotion,150.jpg,d5bffb50c949550da3c34bdbe2564750,7.465082736399547
E:\AMIT AI\Face Mask & Emotion detection\angry\1513.jpg,True,48,48,1,1716,L,,angry,emotion,1513.jpg,5ad4fb399f0d8f8c051f6feaffbbea00,7.448333860897476
E:\AMIT AI\Face Mask & Emotion detection\angry\1520.jpg,True,48,48,1,1667,L,,angry,emotion,1520.jpg,5542037607bd17b2564dc9a976157182,7.419380582918692
E:\AMIT AI\Face Mask & Emotion detection\angry\1522.jpg,True,48,48,1,1505,L,,angry,emotion,1522.jpg,8564e0203688f7bcd0d22a7d747083b1,7.317212408359839
E:\AMIT AI\Face Mask & Emotion detection\angry\1533.jpg,True,48,48,1,1496,L,,angry,emotion,1533.jpg,47179f9b0e6cb353ac99840f6de8355c,7.311218384419629
E:\AMIT AI\Face Mask & Emotion detection\angry\1556.jpg,True,48,48,1,1456,L,,angry,emotion,1556.jpg,33c4c15245d8b546965abf46b5456da4,7.284134806195205
E:\AMIT AI\Face Mask & Emotion detection\angry\1558.jpg,True,48,48,1,1540,L,,angry,emotion,1558.jpg,a265057b572179abaf56ad7f269e7d23,7.340186835320115
E:\AMIT AI\Face Mask & Emotion detection\angry\1564.jpg,True,48,48,1,1435,L,,angry,emotion,1564.jpg,4c9b4c780a9fd35818b5b4cc94c71d64,7.269616749608169
E:\AMIT AI\Face Mask & Emotion detection\angry\1586.jpg,True,48,48,1,1467,L,,angry,emotion,1586.jpg,49ff3a0d2f34ba01d01a0b1a2c2553ea,7.291656209174461
E:\AMIT AI\Face Mask & Emotion detection\angry\1587.jpg,True,48,48,1,1954,L,,angry,emotion,1587.jpg,b81d572ff2b413f201015b4e225baebf,7.578145472419466
E:\AMIT AI\Face Mask & Emotion detection\angry\1588.jpg,True,48,48,1,1330,L,,angry,emotion,1588.jpg,33e3289268c6d3d4e1bc5dfd51103601,7.193685818395112
E:\AMIT AI\Face Mask & Emotion detection\angry\1593.jpg,True,48,48,1,1533,L,,angry,emotion,1593.jpg,ace13fa3ad88dd070b59d565e4efdf7f,7.335633981927201
E:\AMIT AI\Face Mask & Emotion detection\angry\1595.jpg,True,48,48,1,1710,L,,angry,emotion,1595.jpg,426ec116203d14496564fb41b3bcf4e1,7.444833273892193
E:\AMIT AI\Face Mask & Emotion detection\angry\1597.jpg,True,48,48,1,1545,L,,angry,emotion,1597.jpg,6c1f4930b08d8ec87478fc40f713dcec,7.343426229147367
E:\AMIT AI\Face Mask & Emotion detection\angry\1610.jpg,True,48,48,1,1508,L,,angry,emotion,1610.jpg,ebe9e35a17c7cf0a969f53150ba1ad72,7.319202458767849
E:\AMIT AI\Face Mask & Emotion detection\angry\1631.jpg,True,48,48,1,1540,L,,angry,emotion,1631.jpg,4393385823e21ab45b6e949d177aeb3f,7.340186835320115
E:\AMIT AI\Face Mask & Emotion detection\angry\1639.jpg,True,48,48,1,1580,L,,angry,emotion,1639.jpg,be3908bc9bc132b0ba5a4c94d506c34d,7.365812837209472
E:\AMIT AI\Face Mask & Emotion detection\angry\1641.jpg,True,48,48,1,1487,L,,angry,emotion,1641.jpg,75b0fbe56dc8e941c7a928345a2b5b54,7.305188215393037
E:\AMIT AI\Face Mask & Emotion detection\angry\1647.jpg,True,48,48,1,1519,L,,angry,emotion,1647.jpg,b73ac7ca63d6b7782ccaf73635f033f9,7.326465613840322
E:\AMIT AI\Face Mask & Emotion detection\angry\1651.jpg,True,48,48,1,1577,L,,angry,emotion,1651.jpg,2ab715df5b582bfc4eef1a09650f84e6,7.363913501405819
E:\AMIT AI\Face Mask & Emotion detection\angry\1668.jpg,True,48,48,1,1395,L,,angry,emotion,1668.jpg,5c01e7e1acc92ee0e5e83e44a16bb221,7.241366283322318
E:\AMIT AI\Face Mask & Emotion detection\angry\1674.jpg,True,48,48,1,1452,L,,angry,emotion,1674.jpg,172684cb7ab040c2127bab982ff6dd3d,7.2813856635702825
E:\AMIT AI\Face Mask & Emotion detection\angry\169.jpg,True,48,48,1,1466,L,,angry,emotion,169.jpg,e5404bfeea5be5baecc44b20586004d2,7.2909747781429814
E:\AMIT AI\Face Mask & Emotion detection\angry\1694.jpg,True,48,48,1,1716,L,,angry,emotion,1694.jpg,5e7a4604747a4eaad530286416d0d2c5,7.448333860897476
E:\AMIT AI\Face Mask & Emotion detection\angry\1711.jpg,True,48,48,1,1741,L,,angry,emotion,1711.jpg,b8ab9bf283c8320ef65e31db5b60e472,7.462789157412448
E:\AMIT AI\Face Mask & Emotion detection\angry\1726.jpg,True,48,48,1,1639,L,,angry,emotion,1726.jpg,7bc3453b3ae5b211b2f8090181a0f24a,7.402451520818244
E:\AMIT AI\Face Mask & Emotion detection\angry\1731.jpg,True,48,48,1,1570,L,,angry,emotion,1731.jpg,e43cf89da5cf1fe13650c943ee2ea7c0,7.359467638255621
E:\AMIT AI\Face Mask & Emotion detection\angry\1734.jpg,True,48,48,1,1293,L,,angry,emotion,1734.jpg,01fcd945628a233eba9e33ff62540fb4,7.165493475060845
E:\AMIT AI\Face Mask & Emotion detection\angry\1766.jpg,True,48,48,1,1442,L,,angry,emotion,1766.jpg,2120ec6dfc24dbde1f893d3e3033e586,7.274479558773871
E:\AMIT AI\Face Mask & Emotion detection\angry\1776.jpg,True,48,48,1,1525,L,,angry,emotion,1776.jpg,578298b3555258919788057933617295,7.330405211844402
E:\AMIT AI\Face Mask & Emotion detection\angry\1790.jpg,True,48,48,1,1788,L,,angry,emotion,1790.jpg,2eea15d082ee0daddd3629702bbe9812,7.489412083508719
E:\AMIT AI\Face Mask & Emotion detection\angry\1794.jpg,True,48,48,1,1720,L,,angry,emotion,1794.jpg,9fcb387adbcfac1f7cbb0ce296aac62d,7.450660796211539
E:\AMIT AI\Face Mask & Emotion detection\angry\1802.jpg,True,48,48,1,1827,L,,angry,emotion,1802.jpg,cd6070b1717bc524649e35dcb3a9aaeb,7.510977752014095
E:\AMIT AI\Face Mask & Emotion detection\angry\1806.jpg,True,48,48,1,1754,L,,angry,emotion,1806.jpg,4765c202a0196dc51146d2aaddb2952c,7.470224135899966
E:\AMIT AI\Face Mask & Emotion detection\angry\1810.jpg,True,48,48,1,1810,L,,angry,emotion,1810.jpg,3b71be98c03c0f15e5322950236eb2c6,7.501634457883413
E:\AMIT AI\Face Mask & Emotion detection\angry\184.jpg,True,48,48,1,1816,L,,angry,emotion,184.jpg,2f0eae86091f0e964be443f9661588c9,7.504942068396171
E:\AMIT AI\Face Mask & Emotion detection\angry\1847.jpg,True,48,48,1,1513,L,,angry,emotion,1847.jpg,9a7a69aff3e57f369eb2107d96b22716,7.322510433997394
E:\AMIT AI\Face Mask & Emotion detection\angry\1849.jpg,True,48,48,1,1358,L,,angry,emotion,1849.jpg,896b20becdb2e229946606f72a64eb8e,7.214504414151143
E:\AMIT AI\Face Mask & Emotion detection\angry\1856.jpg,True,48,48,1,1508,L,,angry,emotion,1856.jpg,648620e0151070bbb54de85514c74054,7.319202458767849
E:\AMIT AI\Face Mask & Emotion detection\angry\186.jpg,True,48,48,1,1601,L,,angry,emotion,186.jpg,63bfbb8d04bf52f898879329a4f8e6ec,7.379008127628304
E:\AMIT AI\Face Mask & Emotion detection\angry\1863.jpg,True,48,48,1,1408,L,,angry,emotion,1863.jpg,d20a589348a81da813568a2364b8fd75,7.25063551189868
E:\AMIT AI\Face Mask & Emotion detection\angry\188.jpg,True,48,48,1,1776,L,,angry,emotion,188.jpg,607790cc1ac95330fbba13a66fa993c0,7.482681828154651
E:\AMIT AI\Face Mask & Emotion detection\angry\1903.jpg,True,48,48,1,1472,L,,angry,emotion,1903.jpg,7816b78ebfd71876d5c7a6a37caf00b4,7.29505641646263
E:\AMIT AI\Face Mask & Emotion detection\angry\1910.jpg,True,48,48,1,1408,L,,angry,emotion,1910.jpg,558fd0ac362bec83a682bb3482789e98,7.25063551189868
E:\AMIT AI\Face Mask & Emotion detection\angry\1924.jpg,True,48,48,1,1861,L,,angry,emotion,1924.jpg,2df0c2c57013277b7eff707d11910e86,7.529406457837013
E:\AMIT AI\Face Mask & Emotion detection\angry\1927.jpg,True,48,48,1,1668,L,,angry,emotion,1927.jpg,02abae066e560cd18a0e941df916a8a4,7.419979923661835
E:\AMIT AI\Face Mask & Emotion detection\angry\1933.jpg,True,48,48,1,1377,L,,angry,emotion,1933.jpg,3b775040938233ba284e94759c68f2a5,7.228388451573604
E:\AMIT AI\Face Mask & Emotion detection\angry\1940.jpg,True,48,48,1,1774,L,,angry,emotion,1940.jpg,51a933bbd8671f3933607f77ebabe2bc,7.4815557019095165
E:\AMIT AI\Face Mask & Emotion detection\angry\1944.jpg,True,48,48,1,1575,L,,angry,emotion,1944.jpg,4f83640990fee4c2837414ecf03be0d7,7.362645270417825
E:\AMIT AI\Face Mask & Emotion detection\angry\1957.jpg,True,48,48,1,1607,L,,angry,emotion,1957.jpg,bd73a8f7a8f4fb96ace660e300b240d2,7.382746449738912
E:\AMIT AI\Face Mask & Emotion detection\angry\197.jpg,True,48,48,1,1758,L,,angry,emotion,197.jpg,1ccf577faec129c67fab10ee7d0e7c3d,7.472500744737558
E:\AMIT AI\Face Mask & Emotion detection\angry\1971.jpg,True,48,48,1,1752,L,,angry,emotion,1971.jpg,eab79b63781c3913f4b40802503a261c,7.469083884921234
E:\AMIT AI\Face Mask & Emotion detection\angry\1995.jpg,True,48,48,1,1584,L,,angry,emotion,1995.jpg,3e819ca398b2fc95546ae7930feedfc7,7.368339686311381
E:\AMIT AI\Face Mask & Emotion detection\angry\1998.jpg,True,48,48,1,1691,L,,angry,emotion,1998.jpg,b11909a1701604a3fa9ed5834946f515,7.433666540166168
E:\AMIT AI\Face Mask & Emotion detection\angry\202.jpg,True,48,48,1,1489,L,,angry,emotion,202.jpg,61ec9ef17421d592e608768f6f95db51,7.306531398939505
E:\AMIT AI\Face Mask & Emotion detection\angry\2020.jpg,True,48,48,1,1559,L,,angry,emotion,2020.jpg,71c4a23c6296ee6b1fb6897195080f02,7.352441100243583
E:\AMIT AI\Face Mask & Emotion detection\angry\2021.jpg,True,48,48,1,1623,L,,angry,emotion,2021.jpg,f81a56ca14d30707e63c643e0ffafcc2,7.392647520721623
E:\AMIT AI\Face Mask & Emotion detection\angry\2024.jpg,True,48,48,1,1656,L,,angry,emotion,2024.jpg,fda9b71e77ce9f33495c9d94ea8169c4,7.4127640174265625
E:\AMIT AI\Face Mask & Emotion detection\angry\203.jpg,True,48,48,1,1518,L,,angry,emotion,203.jpg,6ddb6bbfbada1a30923bb03d144276f3,7.325807502595773
E:\AMIT AI\Face Mask & Emotion detection\angry\2031.jpg,True,48,48,1,1539,L,,angry,emotion,2031.jpg,35b016945616c75f340cde1b0d67595a,7.3395376954076745
E:\AMIT AI\Face Mask & Emotion detection\angry\2038.jpg,True,48,48,1,1292,L,,angry,emotion,2038.jpg,4cd311aafa0ccd25f646702f53863c9c,7.164720378771857
E:\AMIT AI\Face Mask & Emotion detection\angry\2054.jpg,True,48,48,1,1412,L,,angry,emotion,2054.jpg,51d469d53557974ab8baef18ec8d73a5,7.253470382684528
E:\AMIT AI\Face Mask & Emotion detection\angry\2056.jpg,True,48,48,1,1339,L,,angry,emotion,2056.jpg,f30088bd72429902b3e930d1efa477f9,7.200424892944957
E:\AMIT AI\Face Mask & Emotion detection\angry\2066.jpg,True,48,48,1,1578,L,,angry,emotion,2066.jpg,aa3cb4a44d6e598c8aa2fd43777db6f6,7.364547014255642
E:\AMIT AI\Face Mask & Emotion detection\angry\2067.jpg,True,48,48,1,1120,L,,angry,emotion,2067.jpg,2b1b7a23ab7a0d751f7d067a03584ec2,7.02197642307216
E:\AMIT AI\Face Mask & Emotion detection\angry\22.jpg,True,48,48,1,1670,L,,angry,emotion,22.jpg,3f594f7009360d61404c6863f6ef9013,7.421177528595393
E:\AMIT AI\Face Mask & Emotion detection\angry\221.jpg,True,48,48,1,1670,L,,angry,emotion,221.jpg,2c7ce54fe1586c1adf2578a96d76e419,7.421177528595393
E:\AMIT AI\Face Mask & Emotion detection\angry\225.jpg,True,48,48,1,1303,L,,angry,emotion,225.jpg,fd32dd9dd0a4d31013334577726509b6,7.1731917424865985
E:\AMIT AI\Face Mask & Emotion detection\angry\229.jpg,True,48,48,1,1701,L,,angry,emotion,229.jpg,582af606aa786fd8754d01330929577f,7.43955930913332
E:\AMIT AI\Face Mask & Emotion detection\angry\233.jpg,True,48,48,1,1649,L,,angry,emotion,233.jpg,809008617848df91e48703b3619a4e0e,7.408530566894626
E:\AMIT AI\Face Mask & Emotion detection\angry\235.jpg,True,48,48,1,1546,L,,angry,emotion,235.jpg,f06b432e08e254e0757edcb6a3bb8224,7.344072850573066
E:\AMIT AI\Face Mask & Emotion detection\angry\241.jpg,True,48,48,1,1465,L,,angry,emotion,241.jpg,091ffe8c0838b4c9038e2d2c7aed06ab,7.290292882446597
E:\AMIT AI\Face Mask & Emotion detection\angry\242.jpg,True,48,48,1,1424,L,,angry,emotion,242.jpg,dde236612af3e1def7d7b3aeca0884e7,7.261927092702751
